Rk,G,Date,Home/Away,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
35,35,12/25/18,,LAL,L,101,127,38,93,0.409,9,36,0.25,16,21,0.762,7,37,28,5,1,13,21,47,85,0.553,13,33,0.394,20,27,0.741,6,49,27,5,3,12,20
36,36,12/27/18,,POR,L,109,110,45,106,0.425,13,44,0.295,6,15,0.4,14,59,36,10,9,15,19,38,105,0.362,13,40,0.325,21,23,0.913,11,54,20,7,4,14,18
1,1,10/17/18,,MIN,W,112,108,40,93,0.43,11,25,0.44,21,29,0.724,19,52,22,3,4,12,22,39,91,0.429,6,19,0.316,24,27,0.889,14,46,20,9,2,11,27
2,2,10/20/18,@,POR,L,108,121,42,100,0.42,13,30,0.433,11,14,0.786,15,40,29,5,4,6,17,45,84,0.536,15,32,0.469,16,19,0.842,8,46,24,5,3,12,14
3,3,10/22/18,@,LAL,W,143,142,50,97,0.515,15,28,0.536,28,38,0.737,10,47,32,9,3,9,26,55,107,0.514,14,39,0.359,18,26,0.692,13,52,33,5,6,15,29
4,4,10/24/18,,IND,L,96,116,35,87,0.402,6,19,0.316,20,21,0.952,15,46,16,3,3,13,16,46,87,0.529,17,32,0.531,7,8,0.875,5,40,34,9,5,10,22
5,5,10/27/18,,LAL,W,110,106,44,91,0.484,3,16,0.188,19,24,0.792,12,49,20,7,5,13,17,41,86,0.477,13,33,0.394,11,18,0.611,7,42,19,5,5,17,25
6,6,10/29/18,,DAL,W,113,108,42,91,0.462,9,20,0.45,20,21,0.952,5,41,27,17,2,17,19,43,91,0.473,10,34,0.294,12,17,0.706,8,49,15,9,3,22,21
7,7,10/31/18,@,PHO,W,120,90,46,83,0.554,4,18,0.222,24,26,0.923,6,47,24,7,6,14,15,35,90,0.389,6,24,0.25,14,18,0.778,7,35,21,10,3,15,26
8,8,11/3/18,,NOP,W,109,95,45,96,0.469,8,23,0.348,11,14,0.786,8,43,29,8,4,9,21,36,77,0.468,6,21,0.286,17,30,0.567,6,48,22,3,8,16,21
9,9,11/4/18,,ORL,L,110,117,38,88,0.432,12,35,0.343,22,25,0.88,10,43,25,3,5,11,21,46,91,0.505,12,32,0.375,13,18,0.722,11,43,29,7,4,8,22
10,10,11/7/18,@,MIA,L,88,95,31,94,0.33,13,32,0.406,13,14,0.929,12,49,19,8,5,12,19,36,93,0.387,10,32,0.313,13,18,0.722,14,60,21,8,11,13,17
11,11,11/10/18,,HOU,W,96,89,33,74,0.446,10,20,0.5,20,27,0.741,8,46,17,3,5,15,20,30,90,0.333,9,41,0.22,20,29,0.69,15,49,11,10,5,8,24
12,12,11/12/18,@,SAC,L,99,104,38,87,0.437,10,31,0.323,13,16,0.813,9,43,25,5,4,15,12,43,86,0.5,11,24,0.458,7,12,0.583,7,45,27,12,3,12,20
13,13,11/14/18,@,PHO,L,96,116,35,83,0.422,7,23,0.304,19,24,0.792,13,43,16,7,4,18,12,47,84,0.56,15,31,0.484,7,8,0.875,5,38,27,9,4,16,23
14,14,11/15/18,@,LAC,L,111,116,41,102,0.402,9,29,0.31,20,25,0.8,15,45,19,7,6,5,24,40,85,0.471,8,23,0.348,28,35,0.8,9,50,23,2,3,12,25
15,15,11/18/18,,GSW,W,104,92,41,92,0.446,10,24,0.417,12,17,0.706,11,48,24,3,5,10,18,35,86,0.407,5,26,0.192,17,21,0.81,10,46,20,6,4,11,17
16,16,11/19/18,@,NOP,L,126,140,45,94,0.479,12,24,0.5,24,30,0.8,18,44,22,7,0,15,20,59,102,0.578,10,26,0.385,12,14,0.857,14,42,34,10,5,10,23
17,17,11/21/18,,MEM,L,103,104,35,82,0.427,7,22,0.318,26,30,0.867,10,43,21,4,5,8,20,39,81,0.481,8,25,0.32,18,21,0.857,4,40,21,4,7,9,25
18,18,11/23/18,@,IND,W,111,100,42,83,0.506,10,21,0.476,17,24,0.708,9,46,28,3,4,15,19,46,99,0.465,3,24,0.125,5,9,0.556,11,45,31,9,2,12,22
19,19,11/24/18,@,MIL,L,129,135,49,92,0.533,10,21,0.476,21,28,0.75,9,39,27,8,3,10,21,49,86,0.57,15,40,0.375,22,29,0.759,6,41,30,7,3,13,22
20,20,11/26/18,@,CHI,W,108,107,45,93,0.484,10,30,0.333,8,9,0.889,7,46,29,7,2,10,16,42,90,0.467,14,33,0.424,9,11,0.818,5,43,23,6,5,11,12
21,21,11/28/18,@,MIN,L,89,128,34,87,0.391,8,27,0.296,13,13,1,12,46,23,1,8,18,17,50,99,0.505,18,41,0.439,10,15,0.667,13,48,33,12,6,8,18
22,22,11/30/18,,HOU,L,105,136,39,86,0.453,10,28,0.357,17,20,0.85,9,41,24,4,4,13,18,49,98,0.5,22,54,0.407,16,20,0.8,13,49,32,9,6,5,22
23,23,12/2/18,,POR,W,131,118,50,83,0.602,11,15,0.733,20,22,0.909,5,34,29,5,4,12,15,45,86,0.523,12,29,0.414,16,16,1,9,35,25,6,5,17,21
24,24,12/4/18,@,UTA,L,105,139,44,90,0.489,7,22,0.318,10,11,0.909,7,32,25,7,5,16,19,51,84,0.607,20,33,0.606,17,20,0.85,5,42,38,12,5,17,20
25,25,12/5/18,@,LAL,L,113,121,43,96,0.448,7,27,0.259,20,20,1,11,49,18,8,2,10,24,42,88,0.477,14,39,0.359,23,33,0.697,6,42,21,6,3,12,18
26,26,12/7/18,,LAL,W,133,120,46,91,0.505,13,31,0.419,28,33,0.848,9,48,27,4,7,10,18,46,100,0.46,11,36,0.306,17,21,0.81,10,43,24,8,1,8,24
27,27,12/9/18,,UTA,W,110,97,47,89,0.528,5,14,0.357,11,12,0.917,10,46,26,7,7,11,15,37,85,0.435,9,29,0.31,14,19,0.737,9,38,23,8,4,14,15
28,28,12/11/18,,PHO,W,111,86,41,83,0.494,13,21,0.619,16,19,0.842,8,46,28,7,2,15,15,33,82,0.402,8,28,0.286,12,14,0.857,8,40,19,7,5,17,22
29,29,12/13/18,,LAC,W,125,87,48,83,0.578,10,22,0.455,19,24,0.792,8,47,25,10,7,11,20,30,84,0.357,10,31,0.323,17,24,0.708,13,42,21,4,1,17,18
30,30,12/15/18,,CHI,L,93,98,32,73,0.438,7,21,0.333,22,26,0.846,7,41,18,3,5,15,18,37,86,0.43,6,29,0.207,18,21,0.857,8,40,16,12,8,7,20
31,31,12/17/18,,PHI,W,123,96,49,87,0.563,9,23,0.391,16,17,0.941,4,45,28,5,9,6,14,40,98,0.408,11,37,0.297,5,7,0.714,12,41,29,3,5,10,15
32,32,12/19/18,@,ORL,W,129,90,50,77,0.649,12,19,0.632,17,21,0.81,4,45,29,5,4,11,15,34,89,0.382,12,31,0.387,10,17,0.588,11,33,19,5,3,11,18
33,33,12/21/18,,MIN,W,124,98,46,87,0.529,19,33,0.576,13,18,0.722,11,50,36,7,3,16,22,33,83,0.398,6,21,0.286,26,31,0.839,9,39,19,11,5,12,19
34,34,12/22/18,@,HOU,L,101,108,42,88,0.477,10,24,0.417,7,11,0.636,5,43,24,3,9,9,17,37,95,0.389,19,54,0.352,15,21,0.714,19,58,22,4,3,9,18
35,35,12/26/18,,DEN,W,111,103,42,90,0.467,10,32,0.313,17,22,0.773,7,50,29,6,4,10,17,35,90,0.389,18,40,0.45,15,23,0.652,11,47,29,10,3,12,17
